Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,Nocturnal,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area,CollectionLon,CollectionLat,Phase,capture_quality,PostabsorptiveState,
Carollia perspicillata,Chiroptera,Carollia perspicillata,Carollia_perspicillata,Mammal,14.9,36.6,29,35,43.1,5.67,0.175,KhaliqHof,FruiNect,1,0,0,0,-14,13.1,-6.105,-3.41,8.535237288,7.70952,35.4,32.5,34.9,34.4,1.549693595,NA,21.60573559,-29.91056441,NA,760,-56.47,-20.056,NA,trapped,notpostabsorptive,
Cercartetus nanus,Diprotodontia,Cercartetus nanus,Cercartetus_nanus,Mammal,70,34.9,31,35,51.6,13.23,0.336111111,KhaliqHof,Omnivore,1,1,0,1,-0.6,3.1,0.1,0.43,1.916597845,1.40847,34.1,29.05,33.8,31.07,2.249694062,NA,-28.11054746,-43.64396847,NA,164,147.192,-42.522,NA,trapped,postabsorptive,
Cercopithecus mitis,Diprotodontia,Cercopithecus mitis,Cercopithecus_mitis,Mammal,8500,37,5,28,3520,110,18.96388889,KhaliqHof,FruiNect,0,0,0,0,3.4,12.3,5.4,6.28,5.205344092,6.22692,41.9,32.2,36.06,34.82,2.797861249,NA,11.62692714,-33.54028302,NA,309,36.471,-1.171,rest,captive,postabsorptive,
Cerdocyon thous,Carnivora,Cerdocyon thous,Cerdocyon_thous,Mammal,5444,38.6,25,37,1497.1,110.08,8.502777778,KhaliqHof,Invertebrate,1,0,0,0,-8.2,13.4,5.3,5.9,6.088517193,8.74734,35.8,32.3,34.8,34.25,1.610417117,NA,12.22980783,-34.98081589,NA,546,NA,NA,active,captive,postabsorptive,
Chaetodipus hispidus,Rodentia,Chaetodipus hispidus,Chaetodipus_hispidus,Mammal,35.8,37.5,30.5,33.5,44.8,6.4,0.275,KhaliqHof,PlantSeed,1,1,0,0,-18.6,-11.8,-17.695,-17,6.311935515,6.22692,39.5,32.5,35.895,34.8,3.442570083,NA,46.76225096,19.63846525,NA,222,-97.312,27.59,rest,trapped,postabsorptive,
Chaetodipus intermedius,Rodentia,Chaetodipus intermedius,Chaetodipus_intermedius,Mammal,15.2,35,33,36,15.6,7.8,0.086111111,KhaliqHof,PlantSeed,1,1,0,0,-13.2,-5.3,-11.48,-9.78,3.801336679,3.85476,41.7,34.7,39.47,38.4,2.903594297,NA,37.45316378,26.9960272,NA,143,-113.76,35.21,rest,trapped,notpostabsorptive,
Chaetophractus nationi,Cingulata,Chaetophractus nationi,Chaetophractus_nationi,Mammal,2150,35.5,29,35,559,86,3.119444444,KhaliqHof,Invertebrate,1,NA,0,0,-12,-5.15,-10.775,-9.65,3.98990597,4.89258,29.2,20.5,26.725,26.05,4.780927776,NA,-14.86908082,-26.44924373,NA,66,-63.35,-16.17,rest,captive,postabsorptive,
Chaetophractus vellerosus,Cingulata,Chaetophractus vellerosus,Chaetophractus_vellerosus,Mammal,1110,34.4,30,35,306.4,69.64,1.733333333,KhaliqHof,Invertebrate,1,0,0,0,-4.3,1.85,-1.64,0,4.737698164,3.11346,36,33,35.67,34.64,2.164532651,NA,-16.98843243,-39.48404156,NA,154,NA,NA,rest,captive,postabsorptive,
Chinchilla chinchilla,Rodentia,Chinchilla chinchilla,Chinchilla_chinchilla,Mammal,454,37.6,22,NA,225.7388889,NA,1.261111111,Riek,PlantSeed,1,0,0,0,-14,-12,-13.58,-13.22,1.344981174,1.33434,20.5,15.9,20.38,20.16,2.246050665,NA,-21.73362939,-23.13056325,NA,13,NA,NA,NA,NA,NA,
Chinchilla lanigera,Rodentia,Chinchilla lanigera,Chinchilla_lanigera,Mammal,426,34.85,22,35,234.49,NA,1.31,Bozinovic,PlantSeed,1,NA,0,0,-1.8,1.9,-1.24,-0.68,2.077257808,1.4826,24.9,24.2,24.86,24.82,1.879361594,NA,-29.72644614,-31.73566869,NA,5,NA,NA,NA,NA,NA,
Chironectes minimus,Didelphimorpha,Chironectes minimus,Chironectes_minimus,Mammal,946,35.3,24.5,34,548.7,50.81,2.044444444,KhaliqHof,Invertebrate,1,0,0,0,-10,14.9,-0.84,6.6,6.233136018,5.33736,35.8,31.9,34.5,34,1.929505045,NA,18.97157064,-32.63604508,NA,737,-80.461,8.32,rest,trapped,NA,
Choeroniscus godmani,Chiroptera,Choeroniscus godmani,Choeroniscus_godmani,Mammal,10.1,36.6,32,NA,18.89444444,NA,0.105555556,Riek,Omnivore,1,0,0,0,2.3,20.1,6.84,9,5.331719761,3.26172,37.8,33.6,36.13,35.6,2.468206746,NA,25.05363559,0.969835593,NA,615,-70.141,11.472,rest,trapped,postabsorptive,
Chrotopterus auritus,Chiroptera,Chrotopterus auritus,Chrotopterus_auritus,Mammal,96.1,37.2,28,34,141.3,15.36,0.569444444,KhaliqHof,Omnivore,1,0,0,0,-14.1,15.1,-2.85,7.29,7.190035929,6.22692,35.4,32.4,34.9,34.4,1.711159292,NA,21.60983559,-31.44576441,NA,740,-43.531,-19.371,NA,trapped,notpostabsorptive,
