Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,Nocturnal,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area,CollectionLon,CollectionLat,Phase,capture_quality,PostabsorptiveState,
Clethrionomys rufocanus,Rodentia,Myodes rufocanus,Clethrionomys_rufocanus,Mammal,23.1,36.7,22.5,27.5,57.459,NA,0.321,Riek,NA,NA,NA,0,0,-52.5,-33.75,-46.5,-42.9,11.60793902,10.74885,29.5,22.4,26.5,25.47,3.965433991,NA,72.74603167,38.71749115,NA,2074,NA,NA,NA,NA,NA,
Coendou prehensilis,Rodentia,Coendou prehensilis,Coendou_prehensilis,Mammal,3280,36.85,21.86,34,916.8777778,NA,5.122222222,Bozinovic,PlantSeed,1,0,0,0,1.8,13.6,7.8,8.8,3.869769154,4.15128,35.1,32.3,34.1,33.5,3.178308119,NA,11.46396637,-27.95818554,NA,481,NA,NA,NA,NA,NA,
Colobus guereza,Primates,Colobus guereza,Colobus_guereza,Mammal,10500,37,5,28,3132,97.88,16.69166667,KhaliqHof,PlantSeed,0,0,0,0,4.8,16.2,11.2,12.8,2.397141933,1.63086,39.9,36.85,39.6,39.4,2.506009738,NA,14.4124527,-3.525078572,NA,398,36.475,-1.172,rest,captive,postabsorptive,
Condylura cristata,Soricomorpha,Condylura cristata,Condylura_cristata,Mammal,49,37.7,24.5,33,110.3,8.36,0.615,KhaliqHof,Invertebrate,1,NA,0,0,-29.3,-28,-29.2,-29,3.316670619,1.03782,33.4,28.2,32,31.7,4.940828812,NA,55.45563559,30.15523559,NA,533,-95.59,49.06,active,trapped,postabsorptive,
Crocidura russula,Eulipotyphla,Crocidura russula,Crocidura_russula,Mammal,10.4,34.85,27.5,35,22.87222222,NA,0.127777778,KhaliqHof,Invertebrate,1,1,0,0,-14.3,0.9,-7.76,-5.8,4.75061961,4.74432,41.2,33.1,40.26,39.22,7.983872362,NA,53.79333496,27.73075867,NA,289,6.63,46.51,NA,trapped,postabsorptive,
Crocidura suaveolens,Eulipotyphla,Crocidura suaveolens,Crocidura_suaveolens,Mammal,6.5,35.25,27.5,35,18.89444444,NA,0.105555556,KhaliqHof,Invertebrate,1,1,0,0,-38.7,-17.6,-35.3,-31,11.19114314,12.82449,43.2,29.9,37.825,35.7,5.50504696,NA,58.25947692,21.90730651,NA,1536,8.742,46.22,NA,trapped,postabsorptive,
Cryptomys bocagei,Rodentia,Fukomys bocagei,Cryptomys_bocagei,Mammal,94,33.7,31.5,32.5,69.6,31.64,0.388888889,KhaliqHof,PlantSeed,1,0,0,0,4,6.4,4.825,5.1,2.167598025,1.4826,34.7,32.4,34.6,34.5,1.901309093,NA,-10.15816441,-18.21646441,NA,166,NA,NA,NA,NA,postabsorptive,
Cryptomys damarensis,Rodentia,Fukomys damarensis,Cryptomys_damarensis,Mammal,124,35.2,27,31,70.7,8.62,0.397222222,KhaliqHof,PlantSeed,1,0,0,0,-0.5,2.5,-0.1,0.02,1.82529738,1.92738,36.9,34.1,35.82,35.38,0.819782498,NA,-15.98486441,-27.93066441,NA,153,NA,NA,NA,NA,notpostabsorptive,
Cryptomys hottentotus,Rodentia,Cryptomys hottentotus,Cryptomys_hottentotus,Mammal,102,33.8,28,32,48.5,8.36,0.388888889,KhaliqHof,PlantSeed,1,0,0,1,-3.8,2.35,-2.11,-0.6,4.73605183,4.22541,35,31.7,34.505,34.1,1.993310357,NA,-8.750364408,-34.83976441,NA,200,28.21,-15.23,rest,trapped,postabsorptive,
Cryptomys mechowi,Rodentia,Fukomys mechowi,Cryptomys_mechowi,Mammal,267,34,29,30,160.2,32.04,0.911111111,KhaliqHof,PlantSeed,1,0,0,0,3.9,6.8,4.72,5.2,3.644215663,1.77912,35.5,31.8,34.9,34.5,1.632161703,NA,-2.895564407,-15.12026441,NA,245,NA,NA,NA,NA,postabsorptive,
Ctenomys talarum,Rodentia,Ctenomys talarum,Ctenomys_talarum,Mammal,116,36.1,25,30,119.2,10.74,0.613888889,KhaliqHof,PlantSeed,0,0,0,0,0.2,3.4,0.42,0.6,1.241407442,0.44478,33.6,29.2,33.26,32.86,1.756270877,NA,-34.87663586,-39.15411534,NA,85,-59.51,-37.46,rest,trapped,notpostabsorptive,
Cynomys ludovicianus,Rodentia,Cynomys ludovicianus,Cynomys_ludovicianus,Mammal,1112.3,37.2,30,35,422.7,58.71,2.358333333,KhaliqHof,PlantSeed,0,1,0,0,-19.5,-17.8,-19.2,-19,1.895677482,1.4826,38.7,34.2,37.46,36.7,4.307903629,NA,49.39763559,29.10523559,NA,209,-112.24,47.17,rest,trapped,postabsorptive,
Cynopterus brachyotis,Chiroptera,Cynopterus brachyotis,Cynopterus_brachyotis,Mammal,37.4,36.5,30,37,47.5,7.31,0.263888889,KhaliqHof,FruiNect,1,0,0,1,-22.7,16.1,-11.405,-7.9,10.78440235,7.413,37.5,32.4,35.405,34.41,1.322220742,NA,29.20343559,-4.188264407,NA,460,114.56,4.53,rest,trapped,postabsorptive,
Dasycercus cristicauda,Dasyuromorphia,Dasycercus cristicauda,Dasycercus_cristicauda,Mammal,86,37.85,30,37,46.24166667,NA,0.258333333,KhaliqHof,VertFishScav,1,1,0,0,4.3,5.1,4.4,4.5,0.524311804,0.59304,38.9,38.3,38.8,38.8,0.565840758,NA,-24.18031841,-27.50772633,NA,47,126.35,-26,NA,trapped,NA,
Dasyprocta azarae,Rodentia,Dasyprocta azarae,Dasyprocta_azarae,Mammal,3849,37.4,18,35,1886,97.22,10.51944444,KhaliqHof,PlantSeed,0,0,0,0,6.7,9.8,7.41,7.7,2.59944252,2.81694,35.3,32.6,35,34.6,2.396342267,NA,-12.27077484,-33.6699819,NA,163,NA,NA,rest,captive,postabsorptive,
Dasyprocta leporina,Rodentia,Dasyprocta leporina,Dasyprocta_leporina,Mammal,2687,38.3,20,34,1558.5,85.16,8.694,KhaliqHof,PlantSeed,0,NA,0,0,17.7,21.7,18.9,19.5,1.384471902,1.33434,33.7,32.7,33.5,33.3,0.493220287,NA,12.7400713,-3.139769404,NA,241,-66.48,10.22,rest,trapped,postabsorptive,
Dasypus novemcinctus,Cingulata,Dasypus novemcinctus,Dasypus_novemcinctus,Mammal,3320,34.5,28,38,806.8,124.12,4.444444444,KhaliqHof,Invertebrate,1,0,0,0,-18.4,20.7,-11.3,-10.65,13.86823885,2.89107,38,31.9,34.5,33.5,1.716483337,NA,40.84992415,-34.98081589,NA,886,-82.1,29.3,rest,trapped,notpostabsorptive,
Dasyuroides byrnei,Dasyuromorphia,Dasyuroides byrnei,Dasyuroides_byrnei,Mammal,120,35.2,27.9,NA,82.53888889,NA,0.461111111,Riek,VertFishScav,1,1,0,0,5.8,6.3,5.8,5.8,0.212169444,0.14826,38.7,38.3,38.525,38.5,0.18516402,NA,-22.73705673,-27.41814505,NA,36,138.36,-34.56,rest,captive,NA,
Desmodus rotundus,Chiroptera,Desmodus rotundus,Desmodus_rotundus,Mammal,29.4,35,29,37.5,34.7,5.78,0.15,KhaliqHof,VertFishScav,1,0,0,0,-14.6,13.7,0.35,3.5,6.780907177,7.413,39.3,32.6,35.45,34.8,1.881121901,NA,28.12493559,-43.01056441,NA,911,-56.472,-20.053,NA,trapped,notpostabsorptive,
Diaemus youngi,Chiroptera,Diaemus youngi,Diaemus_youngi,Mammal,36.6,33,25,30,37.3,4.66,0.188888889,KhaliqHof,VertFishScav,1,0,0,0,-13.1,12.9,-4,2.26,7.248078971,5.78214,36.7,32.3,35.1,34.6,1.720719161,NA,23.86973559,-30.24786441,NA,763,-59.94,-3.08,NA,trapped,notpostabsorptive,
Didelphis marsupialis,Didelphimorpha,Didelphis marsupialis,Didelphis_marsupialis,Mammal,1329,35,25.5,36,611.3,64.35,3.411111111,KhaliqHof,Omnivore,1,0,0,0,-14.1,14.8,-6.77,-4.14,8.979592528,6.37518,35.8,32.4,34.5,34,1.533303424,NA,23.47847544,-18.501581,NA,687,-79.84,9.15,rest,trapped,NA,
Didelphis virginiana,Didelphimorpha,Didelphis virginiana,Didelphis_virginiana,Mammal,3257,34.8,22,34,1074.8,83.97,5.299,KhaliqHof,Omnivore,1,NA,0,0,-20.4,-12.5,-16.72,-14.5,5.017679827,2.66868,38,32.8,37.1,36.2,4.312550913,NA,50.08648435,9.917680629,NA,599,-82.193,29.393,rest,trapped,NA,
Diphylla ecaudata,Chiroptera,Diphylla ecaudata,Diphylla_ecaudata,Mammal,27.8,33,26,30,38.6,5.51,0.188888889,KhaliqHof,VertFishScav,1,0,0,0,-14.2,14.8,-7.44,-4.28,8.976231489,6.81996,37.5,33.4,35.4,35,1.946548549,NA,30.35903559,-28.73756441,NA,813,-43.523,-19.372,NA,trapped,notpostabsorptive,
Dipodomys agilis,Rodentia,Dipodomys agilis,Dipodomys_agilis,Mammal,61,37.15,26,36,63.64444444,NA,0.355555556,Bozinovic,Omnivore,1,0,0,0,-7.9,0.5,-6.28,-5.52,3.001427351,1.4826,37.8,32.3,37.14,36.9,5.427035144,NA,36.33535151,33.90421901,NA,47,NA,NA,NA,NA,NA,
Dipodomys deserti,Rodentia,Dipodomys deserti,Dipodomys_deserti,Mammal,106,36.8,28.5,35,92.2,11.11,0.513888889,KhaliqHof,Omnivore,1,0,0,0,-12.7,-4.05,-10.945,-10.1,4.683571606,5.04084,41.5,34.3,41.09,40.6,4.086002332,NA,41.19945051,28.55559434,NA,112,-119.49,35.46,rest,trapped,NA,
Dipodomys merriami,Rodentia,Dipodomys merriami,Dipodomys_merriami,Mammal,34.7,37.15,32,35,43.25833333,NA,0.241666667,KhaliqHof,Omnivore,1,0,0,0,-11.4,-6.4,-9.565,-8.9,5.114391855,3.11346,37.2,33.75,36.4,36,1.940464904,NA,40.38706682,21.25715361,NA,248,118,34.03,rest,trapped,postabsorptive,
Dipodomys microps,Rodentia,Dipodomys microps,Dipodomys_microps,Mammal,57.2,36.4,27,32,66.9,7.12,0.372222222,KhaliqHof,Omnivore,1,0,0,0,-13.2,-8.7,-12.325,-11.7,2.020514541,2.29803,44.9,33,41.525,40.35,5.139812561,NA,43.92093559,33.69983559,NA,116,-115.1,36.052,rest,trapped,notpostabsorptive,
Dolichotis salinicola,Rodentia,Dolichotis salinicola,Dolichotis_salinicola,Mammal,1613,38.4,28,37,725.9,69.8,4.05,KhaliqHof,PlantSeed,0,0,0,0,-3.2,7.95,-0.48,0.32,4.276146648,4.81845,35.2,33.7,34.9,34.7,1.9514178,NA,-17.22961044,-33.06267276,NA,122,NA,NA,rest,captive,postabsorptive,
Dromiciops gliroides,Microbiotheria,Dromiciops gliroides,Dromiciops_gliroides,Mammal,40.2,35.5,29,NA,31.82222222,NA,0.177777778,Riek,Invertebrate,1,1,0,0,-4.8,1.2,-3.8,-3.6,3.631508172,5.1891,28,23,26.84,25.44,3.166335589,NA,-35.47853565,-43.43461227,NA,43,-72.8,-38,rest,NA,postabsorptive,
Eira barbara,Carnivora,Eira barbara,Eira_barbara,Mammal,2950,38.4,26,35,1221.3,98.49,6.811111111,KhaliqHof,VertFishScav,1,0,0,0,-8.9,16.3,7.35,8.4,4.797819624,4.74432,37.8,32.6,35.9,35.2,3.341736033,NA,24.75852385,-33.7567327,NA,831,-70.11,11.43,rest,NA,postabsorptive,
Elephantulus edwardii,Macroscelidae,Elephantulus edwardii,Elephantulus_edwardii,Mammal,49.8,37.6,32.5,36,54.3,10.65,0.303,KhaliqHof,Invertebrate,0,NA,0,1,-4,-0.5,-3.37,-2.31,3.012579427,2.37216,33.5,29.85,32.185,31.7,1.350063963,NA,-28.08617652,-34.3879509,NA,104,21.15,-32.28,rest,trapped,notpostabsorptive,
Eonycteris spelaea,Chiroptera,Eonycteris spelaea,Eonycteris_spelaea,Mammal,51.6,34,26,32.5,48,6,NA,KhaliqHof,FruiNect,1,NA,0,1,-19.4,10.5,1.79,3.8,8.695700047,12.45384,38.8,31.8,33.8,33.11,1.275053886,NA,30.31223559,-10.37476441,NA,520,114.4,3.851,rest,trapped,postabsorptive,
Eptesicus fuscus,Chiroptera,Eptesicus fuscus,Eptesicus_fuscus,Mammal,15,36,26.7,NA,20.227,NA,0.113,Riek,Invertebrate,1,NA,0,0,-30.8,-25.9,-30.4,-29.8,12.22494767,3.55824,37.2,32,35.4,34.6,4.9641205,NA,60.21343559,-2.962464407,NA,803,-97,42.47,rest,trapped,NA,
Erinaceus concolor,Erinaceomorpha,Erinaceus concolor,Erinaceus_concolor,Mammal,822.7,35.2,27.5,31.5,347.2,45.09,1.936111111,KhaliqHof,Invertebrate,1,1,0,0,-16.6,1.1,-14.16,-12.32,5.940337712,2.2239,43.5,33.2,42.8,41.22,4.292837989,NA,43.11083559,30.00763559,NA,329,20,50,rest,trapped,postabsorptive,
Erinaceus europaeus,Erinaceomorpha,Erinaceus europaeus,Erinaceus_europaeus,Mammal,749,34,27.5,NA,337.1166667,NA,1.883333333,Riek,Invertebrate,1,1,0,0,-21.3,-6.15,-19.895,-18.49,8.860908811,12.37971,32,25.25,30.8,30,3.666057879,NA,68.87883559,36.00033559,NA,662,34.7,32.1,rest,trapped,postabsorptive,
Euphractus sexcinctus,Cingulata,Euphractus sexcinctus,Euphractus_sexcinctus,Mammal,8190,34.2,26,37,1244.9,151.82,6.897222222,KhaliqHof,Invertebrate,1,0,0,0,-6.9,9.85,4.5,4.9,5.260196192,6.30105,35.1,32.6,34.3,33.9,0.978878168,NA,2.784414897,-34.98081589,NA,396,NA,NA,rest,trapped,notpostabsorptive,
Galerella sanguinea,Carnivora,Herpestes sanguineus,Galerella_sanguinea,Mammal,540,38.7,26,31,410.4,32.31,2.202,KhaliqHof,Invertebrate,0,NA,0,0,4.9,14.9,11.3,12.7,2.945907051,2.07564,42.6,40.4,42.1,41.8,2.019318811,NA,18.80873559,-31.86006441,NA,827,NA,NA,NA,NA,postabsorptive,
Genetta tigrina,Carnivora,Genetta tigrina,Genetta_tigrina,Mammal,1732,38.5,26,35,747.1,59.77,4.25,KhaliqHof,VertFishScav,1,0,0,1,-4.1,2.5,-2.52,-2.14,3.119095173,2.9652,35.2,27.6,34.22,32.14,3.251241675,NA,-29.49826441,-34.83976441,NA,157,NA,NA,rest,NA,postabsorptive,
Geomys bursarius,Rodentia,Geomys bursarius,Geomys_bursarius,Mammal,197,36.4,30,33,137.9,21.55,0.769444444,KhaliqHof,PlantSeed,1,0,0,0,-24.2,-16,-23.5,-23.12,4.816132969,6.52344,36.9,33.2,36.01,35.7,1.942032572,NA,49.73203559,31.31023559,NA,219,-93.16,45.1,NA,trapped,NA,
Geomys pinetis,Rodentia,Geomys pinetis,Geomys_pinetis,Mammal,202,36.1,26,35,135.3,13.4,0.791666667,KhaliqHof,PlantSeed,1,0,0,0,-0.7,0.5,-0.5,-0.3,2.555090877,0.7413,33.6,32.6,33.455,33.31,0.501279262,NA,33.46673559,26.78473559,NA,90,-82.1,29.4,rest,trapped,NA,
Georychus capensis,Rodentia,Georychus capensis,Georychus_capensis,Mammal,192.6,36.4,26.3,34,113.6,11.25,0.627777778,KhaliqHof,PlantSeed,0,0,0,1,-5,3.8,0.77,1.69,2.239428754,1.18608,32.8,27.75,31.055,30.71,2.485391546,NA,-28.84336441,-34.83976441,NA,130,18.23,-34.12,active,trapped,notpostabsorptive,
Gerbillurus paeba,Rodentia,Gerbillurus paeba,Gerbillurus_paeba,Mammal,33.9,36,32.3,35.1,27.7,10.26,0.194444444,KhaliqHof,PlantSeed,1,0,0,1,3.9,6.7,4.4,5.9,2.042157077,1.03782,35.1,34.05,34.9,34.8,2.533049204,NA,-15.47646441,-34.83976441,NA,254,15.32,-23.29,rest,trapped,postabsorptive,
Gerbillus andersoni,Rodentia,Gerbillus andersoni,Gerbillus_andersoni,Mammal,35.8,37,28,35,39.4,4.38,0.216666667,KhaliqHof,PlantSeed,1,0,0,0,0.6,6.3,4.3,4.6,1.233771168,0.59304,36.4,31.9,35.3,34.9,1.971716559,NA,32.7196414,29.85206157,NA,205,34.5,32.361,NA,trapped,NA,
Gerbillus nanus,Rodentia,Gerbillus nanus,Gerbillus_nanus,Mammal,28.2,38.8,33,34,22,3.79,0.125,KhaliqHof,PlantSeed,1,0,0,0,-18.9,1.7,-9.01,-6.7,5.880184168,5.04084,42.8,39.9,42,41.5,2.825418647,NA,35.52813858,12.59131146,NA,899,34.5,32.362,NA,trapped,NA,
Gerbillus pyramidum,Rodentia,Gerbillus pyramidum,Gerbillus_pyramidum,Mammal,53,36.25,30,31,52.70555556,NA,0.294444444,KhaliqHof,PlantSeed,1,0,0,0,-2,8.7,2.035,4.8,3.059459205,2.29803,42.4,40.1,42.2,42,1.512253601,NA,31.60323715,13.22594959,NA,448,NA,NA,rest,captive,postabsorptive,
Glossophaga longirostris,Chiroptera,Glossophaga longirostris,Glossophaga_longirostris,Mammal,13.5,37.5,31.5,36,26.5,4.42,NA,KhaliqHof,Omnivore,1,NA,0,0,3.1,20.3,7.105,11.63,4.504708653,1.77912,35.4,31.4,34.685,34.3,3.632785492,NA,13.37783559,0.520935593,NA,264,-70.143,11.472,rest,trapped,postabsorptive,
Glossophaga soricina,Chiroptera,Glossophaga soricina,Glossophaga_soricina,Mammal,9.6,36.5,31.4,35.2,17.7,3.47,0.119444444,KhaliqHof,Omnivore,1,0,0,0,-14,14.4,-6.8,7.6,7.190197745,6.22692,40.5,32.3,35.1,34.5,2.208435759,NA,29.56163559,-31.81476441,NA,911,-62.291,-6.11,NA,trapped,notpostabsorptive,
Heliophobius argenteocinereus,Rodentia,Heliophobius argenteocinereus,Heliophobius_argenteocinereus,Mammal,89,34,28,NA,74.58333333,NA,0.416666667,Riek,PlantSeed,0,0,0,0,4.8,13.8,5.4,5.7,4.422258095,4.59606,38.1,32.7,36.96,36.5,2.196240122,NA,-0.905464407,-18.48036441,NA,189,NA,NA,NA,NA,NA,
Hemiechinus auritus,Erinaceomorpha,Hemiechinus auritus,Hemiechinus_auritus,Mammal,397,33.8,30,NA,151.6527778,NA,0.847222222,Riek,Omnivore,1,1,0,0,-36.9,-21,-32.33,-26.1,12.40177342,5.33736,46.1,31.7,41.7,39.96,7.620204245,NA,54.81023559,28.24563559,NA,1135,33.5,29.3,rest,trapped,postabsorptive,
Heterocephalus glaber,Rodentia,Heterocephalus glaber,Heterocephalus_glaber,Mammal,39.2,32.3,31,37,21.6,72,0.144444444,KhaliqHof,PlantSeed,1,0,0,0,4,13.7,8.1,9.7,3.911451761,4.29954,38.8,33.7,37.4,35.7,2.5311451,NA,11.98523559,-2.340064408,NA,181,36.495,-2,NA,trapped,NA,
Heterohyrax brucei,Hyracoidae,Heterohyrax brucei,Heterohyrax_brucei,Mammal,2000,36.4,25,35,669.2,58.7,4.016666667,KhaliqHof,PlantSeed,0,0,0,0,1.6,14.15,3.2,4.2,6.76906762,10.30407,42.4,36,41.6,41,3.835321939,NA,21.46603559,-24.81476441,NA,398,36.49,-1.173,rest,trapped,postabsorptive,
Heteromys anomalus,Rodentia,Heteromys anomalus,Heteromys_anomalus,Mammal,69.3,36,26,33,100.5,10.05,0.561111111,KhaliqHof,PlantSeed,1,0,1,0,11.9,19.4,14.21,15,2.547958624,2.74281,35,32.25,34.5,34.29,2.011230942,NA,12.10577331,2.776357253,NA,192,-64.37,9.1,rest,trapped,NA,
Hipposideros galeritus,Chiroptera,Hipposideros galeritus,Hipposideros_galeritus,Mammal,8.5,31.9,29,32,9.4,3.24,0.052777778,KhaliqHof,Invertebrate,1,1,0,1,7,16.8,10.19,10.58,5.189943959,8.1543,42.5,33.2,41.81,41.4,3.735336925,NA,26.31193559,-7.816064407,NA,479,114.432,3.855,rest,trapped,postabsorptive,
Histiotus velatus,Chiroptera,Histiotus velatus,Histiotus_velatus,Mammal,11.2,32,25,31,10,1.43,0.055555556,KhaliqHof,Invertebrate,1,1,0,0,-7.6,9.9,-0.76,3.24,5.394637732,4.29954,35.4,32.8,35,34.3,1.695257681,NA,-6.539464408,-32.59886441,NA,275,-49.221,-20.493,NA,trapped,notpostabsorptive,
Hydrochoerus hydrochaeris,Rodentia,Hydrochoerus hydrochaeris,Hydrochoerus_hydrochaeris,Mammal,26400,37.1,22,33,6600,437.09,36.754,KhaliqHof,PlantSeed,0,NA,0,0,-10.2,10.25,-0.805,3.4,6.014152372,6.74583,35.1,32.2,34.2,33.6,1.544609609,NA,10.40499973,-37.28077223,NA,520,-66.08,7.15,rest,trapped,postabsorptive,
Hylomys suillus,Erinaceomorpha,Hylomys suillus,Hylomys_suillus,Mammal,67,37.2,31,NA,80.05277778,NA,0.447222222,Riek,Invertebrate,1,0,0,1,-3.9,17,0.52,2.64,7.819807246,8.00604,33.5,31.8,32.58,32.46,1.746670278,NA,25.70833559,-8.780764407,NA,265,116.5,6,active,NA,notpostabsorptive,
Hystrix africaeaustralis,Rodentia,Hystrix africaeaustralis,Hystrix_africaeaustralis,Mammal,10700,37,24,27,2319.9,178.45,11.33888889,KhaliqHof,PlantSeed,1,0,0,1,3.3,10.5,6.14,7,3.517906097,3.85476,33.6,30.3,32.36,32.1,2.2873316,NA,0.303635592,-34.83976441,NA,349,22.11,-32.22,NA,captive,NA,
Isoodon macrourus,Peramelemorphia,Isoodon macrourus,Isoodon_macrourus,Mammal,1551,35.9,30,NA,634.9527778,NA,3.547222222,Riek,Invertebrate,1,0,1,0,-0.3,13.2,3.465,4.63,4.387775912,2.52042,38.7,36,38.4,38.2,3.38293442,NA,-8.186808586,-33.80034924,NA,334,151,-33,rest,trapped,NA,
Isthmomys pirrensis,Rodentia,Isthmomys pirrensis,Isthmomys_pirrensis,Mammal,140.4,37.5,32,34,123.6,16.48,0.677777778,KhaliqHof,Invertebrate,1,0,0,0,15.5,20.3,16.18,16.86,2.524106002,2.66868,31.3,30.2,31.02,30.74,0.81240384,NA,8.196471864,7.339934169,NA,9,-77.5,7.52,rest,captive,postabsorptive,
Jaculus jaculus,Rodentia,Jaculus jaculus,Jaculus_jaculus,Mammal,74.5,37,33,35,91.6,22.9,0.513888889,KhaliqHof,PlantSeed,1,1,0,0,-9.5,5.85,-4.155,-0.51,5.214643976,5.11497,45.3,39.15,44,41.9,3.6069936,NA,35.88696861,7.149199078,NA,870,-3.116,32.561,rest,trapped,postabsorptive,
Jaculus orientalis,Rodentia,Jaculus orientalis,Jaculus_orientalis,Mammal,139.1,37,28,33,139.1,15.46,0.775,KhaliqHof,PlantSeed,1,1,1,0,-4.5,3.05,-1.2,-0.4,2.753586661,3.78063,39.6,32.5,38.1,37.1,2.592131085,NA,37.34961701,29.27741632,NA,316,-3.111,32.562,rest,trapped,postabsorptive,
Kerodon rupestris,Rodentia,Kerodon rupestris,Kerodon_rupestris,Mammal,801,38.2,27,36,282.9,25.26,2.011111111,KhaliqHof,PlantSeed,0,0,0,0,9.6,14.9,10.6,10.7,2.784373145,3.40998,36,33.8,35.61,35.1,1.512082502,NA,-2.786885977,-18.76110041,NA,139,-40.09,-6,rest,captive,postabsorptive,
Kobus ellipsiprymnus,Artiodactyla,Kobus ellipsiprymnus,Kobus_ellipsiprymnus,Mammal,1.00E+05,38.85,13,37,26658.07222,NA,148.9277778,KhaliqHof,PlantSeed,1,0,0,0,9.2,15.3,11.7,12.2,2.666992513,2.81694,41.5,39.5,41,40.7,2.118942933,NA,16.11533559,-28.75866441,NA,753,29.58,-0.1,NA,trapped,NA,
Lagidium viscacia,Rodentia,Lagidium viscacia,Lagidium_viscacia,Mammal,2055,36.7,18.4,NA,698.1,NA,3.9,Riek,PlantSeed,0,0,0,0,-10.3,-0.8,-6.56,-4.43,4.296384973,4.00302,34.1,29.25,33.045,32.63,4.86076762,NA,-14.57075592,-43.30708313,NA,98,-70.57,-29.38,rest,NA,postabsorptive,
Lagorchestes conspicillatus,Diprotodontia,Lagorchestes conspicillatus,Lagorchestes_conspicillatus,Mammal,2660,35.8,25,35,851.2,78.81,4.747222222,KhaliqHof,PlantSeed,1,0,1,0,4,8.3,6.2,6.8,1.938006245,1.92738,40.4,38.2,39.7,39.6,1.992336043,NA,-7.999354224,-23.87897312,NA,389,115.25,-20.45,rest,trapped,postabsorptive,
Lasiorhinus latifrons,Diprotodontia,Lasiorhinus latifrons,Lasiorhinus_latifrons,Mammal,25000,34,25,39,2750,305.56,13.94444444,KhaliqHof,PlantSeed,1,0,0,1,3.6,4.9,4.425,4.5,0.690783895,0.29652,35,31.8,34.65,32.75,1.559087207,NA,-30.68386061,-35.17750168,NA,106,135,-33.331,NA,trapped,postabsorptive,
Lasiurus borealis,Chiroptera,Lasiurus borealis,Lasiurus_borealis,Mammal,12.2,35.7,32,NA,17.40277778,NA,0.097222222,Riek,Invertebrate,1,1,0,0,-24.4,-17.4,-23.86,-23.32,4.588152322,6.07866,38.1,32,34.86,33.2,4.443716022,NA,50.31148299,21.73143559,NA,509,-82,29,rest,NA,NA,
Lasiurus cinereus,Chiroptera,Lasiurus cinereus,Lasiurus_cinereus,Mammal,27.5,34.95,30,34,16.40833333,NA,0.091666667,KhaliqHof,Invertebrate,1,1,0,0,-40.3,-27.5,-39.6,-38.15,19.08319051,13.63992,41.4,29,37.525,35,4.944559194,NA,66.19323559,-41.78696441,NA,1036,-106.62,35.01,rest,trapped,postabsorptive,
Lasiurus intermedius,Chiroptera,Lasiurus intermedius,Lasiurus_intermedius,Mammal,22.6,35.8,34,NA,18.39722222,NA,0.102777778,Riek,Invertebrate,1,1,0,0,-9,0.8,-2.27,-0.6,4.845874567,1.26021,37.8,33.4,37,36.1,2.313781034,NA,40.89083559,9.610835593,NA,374,-82,29,rest,NA,NA,
Lasiurus seminolus,Chiroptera,Lasiurus seminolus,Lasiurus_seminolus,Mammal,9.8,35.1,32,NA,13.425,NA,0.075,Riek,Invertebrate,1,1,0,0,-10.8,-2.6,-6.17,-5.27,2.069873249,2.07564,36.1,32.3,35.4,35.1,1.403851534,NA,42.52453559,25.12803559,NA,314,-82,29,rest,trapped,NA,
Leptonycteris curasoae,Chiroptera,Leptonycteris curasoae,Leptonycteris_curasoae,Mammal,24,36,27,35,34.1,3.79,0.188888889,KhaliqHof,Omnivore,1,0,0,0,7.9,21.4,13.695,18.49,2.521575822,0.88956,36,34.3,35.9,35.8,3.332420578,NA,12.63063559,2.631235592,NA,174,-70.141,11.472,rest,trapped,postabsorptive,
Lepus americanus,Lagomorpha,Lepus americanus,Lepus_americanus,Mammal,1581,39.8,10,NA,1196.813889,NA,6.686111111,Riek,PlantSeed,1,0,0,0,-38.5,-32,-35.4,-35,5.180553557,3.7065,36.7,22.4,32.38,30.1,6.373198853,NA,68.59793559,35.47893559,NA,1385,-75.8,45.43,NA,NA,NA,
Lepus californicus,Lagomorpha,Lepus californicus,Lepus_californicus,Mammal,2300,39.2,14,NA,1116.263889,NA,6.236111111,Riek,PlantSeed,1,0,0,0,-18.1,-12.3,-16.7,-15.5,4.157523535,2.2239,39.4,30.3,35.1,34.5,4.104875297,NA,47.97623559,19.44143559,NA,387,-110.9,32.1,NA,NA,NA,
Lepus townsendii,Lagomorpha,Lepus townsendii,Lepus_townsendii,Mammal,2430,38.2,11,NA,1261.452778,NA,7.047222222,Riek,PlantSeed,1,0,0,0,-27.4,-22.65,-26.9,-26.6,6.473050183,4.96671,39.1,30.9,34.965,34,3.522847471,NA,54.66813559,36.04063559,NA,408,-109.9,41.3,rest,NA,postabsorptive,
