Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,ForStrat,Nocturnal,Climate_McN,Torpor_McN,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area
Megascops asio,Strigiformes,Megascops asio,Megascops_asio,Bird,141.5,39,26,34,85.1,6.55,0.586,KhaliqHof,Omnivore,NA,1,NA,NA,NA,0,0,-24.5,-16.8,-23.6,-23.2,4.248573097,4.00302,37.8,31.9,34.9,34.5,3.27484343,1.63086,50.05749512,11.39831543,Megascops_asio_22688758,509
Strix occidentalis,Strigiformes,Strix occidentalis,Strix_occidentalis,Bird,571,38.5,17,25.2,460.3,21.41,2.675,KhaliqHof,VertFishScav,NA,1,T,N,0,0,0,-21.7,-10.4,-18.14,-16.42,7.3869473,6.37518,41.3,31.4,40.2,38.64,5.131979615,4.89258,51.60949707,19.46612549,Strix_occidentalis_22689089,273
Tyto alba,Strigiformes,Tyto alba,Tyto_alba,Bird,533.2,37.8,22.5,32.5,308.8,20.18,1.794444444,KhaliqHof,VertFishScav,NA,1,T/TR,N,0,0,1,-23.4,3.55,-16.5,-13.7,13.90109527,20.53401,41.3,30.5,36,34.8,5.294729349,4.00302,58.06689453,-55.72027588,Tyto_alba_22688504,3306
Turnix suscitator,Turniciformes,Turnix suscitator,Turnix_suscitator,Bird,58.1,39,33,39,66.4,11.07,0.386111111,KhaliqHof,PlantSeed,NA,0,TR,N,0,0,1,-17.3,6.1,-8.6,-7.11,7.61991315,5.9304,42.2,32.2,38.72,35.31,2.546767916,1.33434,34.80950928,-8.961303711,Turnix_suscitator_22680549,690
Aotus trivirgatus,Aotidae,Aotus trivirgatus,Aotus_trivirgatus,Mammal,1020,38.15,28,30,458.4388889,NA,2.561111111,KhaliqHof,Omnivore,Ar,1,TR,N,0,0,0,17.4,21.5,19.6,19.7,1.09057852,1.18608,36.2,33.2,35.86,35.22,1.374775347,1.63086,7.809835593,-3.250264407,NA,149
Kobus ellipsiprymnus,Artiodactyla,Kobus ellipsiprymnus,Kobus_ellipsiprymnus,Mammal,1.00E+05,38.85,13,37,26658.07222,NA,148.9277778,KhaliqHof,PlantSeed,G,1,TR,N,0,0,0,9.2,15.3,11.7,12.2,2.666992513,2.81694,41.5,39.5,41,40.7,2.118942933,1.18608,16.11533559,-28.75866441,NA,753
Madoqua kirkii,Artiodactyla,Madoqua kirkii,Madoqua_kirkii,Mammal,4600,39.15,25,35,1929.222222,NA,10.77777778,KhaliqHof,PlantSeed,G,1,TR,N,0,0,0,1.7,12.1,2.6,2.9,5.819071744,6.07866,39.2,33.95,38.795,37.79,3.544227994,4.52193,2.845935592,-24.20716441,NA,242
Philantomba monticola,Artiodactyla,Philantomba monticola,Philantomba_monticola,Mammal,4400,39.1,26,32,1806,128.09,10.55277778,KhaliqHof,FruiNect,G,1,T/TR,N,0,0,1,4.4,10.6,5.045,5.4,4.894210399,6.52344,38.8,34.4,38.4,37.8,3.02093109,3.40998,9.143035593,-34.35846441,NA,390
Raphicerus campestris,Artiodactyla,Raphicerus campestris,Raphicerus_campestris,Mammal,8500,39,30,NA,3696,410.67,18.25277778,KhaliqHof,PlantSeed,G,0,T/TR,N,0,0,1,-4.1,8.5,-0.7,0.54,4.896512934,3.85476,36.7,31.4,34.5,33.7,2.178014256,2.37216,0.841435593,-34.83976441,NA,343
Sus scrofa,Artiodactyla,Sus scrofa,Sus_scrofa,Mammal,48000,39.15,4,22,18642.85,NA,104.15,KhaliqHof,PlantSeed,G,1,NA,NA,NA,0,0,-42.1,-21.1,-38.6,-37.2,12.92409541,14.67774,44.3,32.4,42.92,39.4,4.217377367,3.26172,61.52027212,-8.849499702,NA,1817
Pecari tajacu,Artiodactyla,Pecari tajacu,Pecari_tajacu,Mammal,20000,38,28,35,5800,580,32.45,KhaliqHof,PlantSeed,G,1,T/TR,N,0,0,0,-0.1,15.9,2.9,5.9,5.604498432,5.48562,41.6,32.6,36.1,35.1,2.430267625,1.63086,35.0746387,-34.81695562,NA,955
Canis mesomelas,Carnivora,Canis mesomelas,Canis_mesomelas,Mammal,7720,38.15,22,26,3768.944444,NA,21.05555556,KhaliqHof,Omnivore,G,1,T,N,0,0,1,5.3,13.8,5.8,6,6.254414858,9.6369,42.6,35.1,41.3,40.35,3.854170209,4.4478,18.53526369,-34.83982849,NA,476
Canis latrans,Carnivora,Canis latrans,Canis_latrans,Mammal,10000,36,22,26,2700,192.86,15,KhaliqHof,VertFishScav,G,1,T,N,0,0,0,-38.9,-31.9,-36.9,-36.6,4.665668302,3.85476,37.8,25.8,35.9,35.2,8.663822234,13.19514,71.39065552,8.025040627,NA,1212
Vulpes macrotis,Carnivora,Vulpes macrotis,Vulpes_macrotis,Mammal,1868,38,22,33,1143.2,71.45,5.230555556,KhaliqHof,VertFishScav,G,1,T,N,0,0,0,-14.2,-7.9,-11.8,-10.94,5.209306039,3.26172,40.6,31.6,38.5,36.64,3.838161957,4.29954,43.39726092,22.41580199,NA,277
